sku,barcode,name,category_main,category_sub,cost,price_retail,price_credit,unit,source,date_bought
,8851709003968,BK คัตเตอร์เล็ก NO.303 แถมใบมีด,,, 15.75 , 30.00 , 30.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201014065,HHC 2B ดินสอ NO.2017C,,, 1.68 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201014072,HHC 2B ดินสอ NO.2017E/C,,, 1.68 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201013440,"HHC HB ดินสอ NO.2288C, 2288WC",,, 1.68 , 4.00 , 4.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201014041,HHC HB ดินสอ NO.2288W,,, 1.68 , 4.00 , 4.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201015215,"HHC ดินสอ HB 2024C, PC สูตรคูณ, พาสเทล",,, 1.40 , 4.00 , 4.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552201627,Horse เคมี 2 หัว ดำ,,, 9.08 , 15.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552201634,Horse เคมี 2 หัว แดง,,, 9.08 , 15.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8851552201610,Horse เคมี 2 หัว น้ำเงิน,,, 9.08 , 15.00 , 18.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8850508024211,Lancer 8252 น้ำเงิน - แดง x 50.00,,, 4.74 , 8.00 , 8.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8850508057998,Lancer 825-2001 แดง x 50.00,,, 4.20 , 6.00 , 7.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8850508057882,Lancer 825-2001 น้ำเงิน x 50.00,,, 4.20 , 6.00 , 7.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201014126,M-TEC กบเหลา 1 รู สีทูโทน #169,,, 4.67 , 8.00 , 8.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201011828,"M-TEC กบเหลา 1 รู สีสะท้อน #148N, MC",,, 1.83 , 3.00 , 3.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201011873,M-TEC กรรไกร NO.5 เรือนแสน สีสะท้อน,,, 10.67 , 15.00 , 18.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201013228,"M-TEC เทปลบคำผิด เดี่ยว #CT01, 02",,, 7.75 , 15.00 , 15.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201013792,M-TEC น้ำยาลบคำผิด #500N,,, 5.83 , 12.00 , 12.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201013808,M-TEC น้ำยาลบคำผิด #550B,,, 5.83 , 12.00 , 12.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201014461,"M-TEC น้ำยาลบคำผิด NO.401G, W, F, R",,, 5.42 , 10.00 , 10.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858201013792,M-TEC ปากกาลบคำผิด กลิ่นผลไม้ N M x 12.00,,, 5.83 , 12.00 , 12.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201000280,M-TEC ปากกาไวท์บอร์ด #WB-900 (คละสี),,, 8.25 , 17.00 , 17.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8854951001386,PVC คั่นหน้า / สี่เหลี่ยมผืนผ้า ห่อ x 10,,, 11.50 , 25.00 , 25.00 ,ห่อ,อ.อัษฎางค์,22 March 2568
,8858201010746,Sepia ดินสอ 2B 2014B (แผง) x 12.00,,, 7.92 , 15.00 , 15.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201001324,Sepia ดินสอ 2B NO.2004C,,, 2.20 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201011392,Sepia ดินสอ HB (แผง) NO.2014H,,, 7.92 , 15.00 , 15.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,8858201014195,Sepia ปากกาลูกลื่น NO.888 นง. แดง.,,, 2.00 , 5.00 , 5.00 ,แท่ง,อ.อัษฎางค์,22 March 2568
,6937491592650,Stick Note e-File 3x3 นิ้ว,,, 14.67 , 30.00 , 30.00 ,ห่อ,อ.อัษฎางค์,22 March 2568
,8858729209646,กบเหลาดินสอพลาสติก ตราม้า H-002,,, 1.04 , 4.00 , 4.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8858729206164,กรรไกร 8 นิ้ว Horse H-505 x 6.00,,, 46.33 , 68.00 , 78.00 ,อัน,อ.อัษฎางค์,22 March 2568
,6950487432099,กรรไกร กิตติ 6 นิ้ว,,, 4.58 , 12.00 , 12.00 ,อัน,อ.อัษฎางค์,22 March 2568
,8851907155384,กรรไกร ตราช้าง HC กระบอกใส 5 นิ้ว,,, 10.54 , 15.00 , 20.00 ,อัน,อ.อัษฎางค์,22 March 2568
